movie_id,avg_rating,rating_count,title
143,3.7658,222,"Sound of Music, The (1965)"
909,3.7692,13,Dangerous Beauty (1998)
468,3.3125,64,Rudy (1993)
583,3,37,Romeo Is Bleeding (1993)
1189,5,3,Prefontaine (1997)
403,3.4279,201,Batman (1989)
546,3.0315,254,Broken Arrow (1996)
1049,2.52,25,House Arrest (1996)
1327,2.3333,3,Captives (1994)
771,2.6341,41,Johnny Mnemonic (1995)
1028,3.0405,148,Grumpier Old Men (1995)
842,3.1481,27,Pollyanna (1960)
611,4.1,40,Laura (1944)
387,3.3846,65,"Age of Innocence, The (1993)"
1186,3.3333,3,"Inkwell, The (1994)"
337,3,18,"House of Yes, The (1997)"
1057,2.3182,22,"Pallbearer, The (1996)"
200,3.8252,206,"Shining, The (1980)"
1578,2,2,"Collectionneuse, La (1967)"
584,3.5443,79,"Secret Garden, The (1993)"
167,2.9552,67,Private Benjamin (1980)
240,2.7885,156,Beavis and Butt-head Do America (1996)
1659,1,1,Getting Away With Murder (1996)
1579,1,1,Baton Rouge (1988)
190,4.1371,124,Henry V (1989)
1246,1.5714,7,Bushwhacked (1995)
536,3.3,10,Ponette (1996)
1441,2.5714,7,Moonlight and Valentino (1995)
1092,2.5,12,Dear God (1996)
12,4.3858,267,"Usual Suspects, The (1995)"
90,3.0526,95,So I Married an Axe Murderer (1993)
736,3.9359,78,Shadowlands (1993)
1408,1,3,Gordy (1995)
1036,2.75,24,Drop Dead Fred (1991)
275,4.0112,268,Sense and Sensibility (1995)
1214,2,9,In the Realm of the Senses (Ai no corrida) (1976)
1655,2,1,"Favor, The (1994)"
353,2.4286,14,Deep Rising (1998)
1039,4.0111,90,Hamlet (1996)
25,3.4437,293,"Birdcage, The (1996)"
181,4.0079,507,Return of the Jedi (1983)
66,3.5494,162,While You Were Sleeping (1995)
832,2.5455,22,Bogus (1996)
1113,3.2727,22,Mrs. Parker and the Vicious Circle (1994)
321,3.1302,169,Mother (1996)
1290,1.5,2,Country Life (1994)
1163,2.68,25,"Portrait of a Lady, The (1996)"
989,2.8438,32,Cats Don't Dance (1997)
777,1.25,4,Castle Freak (1995)
1010,3.25,44,Basquiat (1996)
1630,3,1,"Silence of the Palace, The (Saimt el Qusur) (1994)"
42,3.8041,148,Clerks (1994)
1678,1,1,Mat' i syn (1997)
1317,2,4,"Journey of August King, The (1995)"
320,4.05,20,Paradise Lost: The Child Murders at Robin Hood Hills (1996)
831,2.4615,91,Escape from L.A. (1996)
1428,3.6667,12,SubUrbia (1997)
