partition_key,rank,avg_rating,movie_id,rating_count,title
1,1,4.4911,408,112,"Close Shave, A (1995)"
1,2,4.4664,318,298,Schindler's List (1993)
1,3,4.4661,169,118,"Wrong Trousers, The (1993)"
1,4,4.4568,483,243,Casablanca (1942)
1,5,4.4478,114,67,Wallace & Gromit: The Best of Aardman Animation (1996)
1,6,4.4452,64,283,"Shawshank Redemption, The (1994)"
1,7,4.3876,603,209,Rear Window (1954)
1,8,4.3858,12,267,"Usual Suspects, The (1995)"
1,9,4.3585,50,583,Star Wars (1977)
1,10,4.344,178,125,12 Angry Men (1957)
