user_id,age,gender,occupation,zip_code
320,19,M,student,24060
375,17,M,entertainment,37777
851,18,M,other,29646
859,18,F,other,06492
813,14,F,student,02136
462,19,F,student,02918
646,17,F,student,51250
221,19,M,student,20685
101,15,M,student,05146
872,19,F,student,74078
747,19,M,other,93612
880,13,M,student,83702
434,16,F,student,49705
609,13,F,student,55106
393,19,M,student,83686
582,17,M,student,93003
52,18,F,student,55105
761,17,M,student,97302
258,19,F,student,77801
453,18,M,student,06333
817,19,M,student,60152
710,19,M,student,92020
281,15,F,student,06059
580,16,M,student,17961
142,13,M,other,48118
482,18,F,student,40256
601,19,F,artist,99687
262,19,F,student,78264
550,16,F,student,95453
367,17,M,student,37411
246,19,M,student,28734
700,17,M,student,76309
588,18,F,student,93063
30,7,M,student,55436
289,11,M,none,94619
521,19,M,student,02146
528,18,M,student,55104
451,16,M,student,48446
347,18,M,student,90210
68,19,M,student,22904
341,17,F,student,44405
179,15,M,entertainment,20755
620,18,F,writer,81648
863,17,M,student,60089
904,17,F,student,61073
631,18,F,student,38866
787,18,F,student,98620
632,18,M,student,55454
541,19,F,student,84302
368,18,M,student,92113
507,18,F,writer,28450
729,19,M,student,56567
67,17,M,student,60402
592,18,M,student,97520
206,14,F,student,53115
642,18,F,student,95521
110,19,M,student,77840
849,15,F,student,25652
291,19,M,student,44106
57,16,M,none,84010
628,13,M,none,94306
925,18,F,salesman,49036
397,17,M,student,27514
257,17,M,student,77005
618,15,F,student,44212
471,10,M,student,77459
461,15,M,student,98102
36,19,F,student,93117
425,19,M,student,58644
674,13,F,student,55337
621,17,M,student,60402
887,14,F,student,27249
270,18,F,student,63119
624,19,M,student,30067
619,17,M,student,44134
303,19,M,student,14853
223,19,F,student,47906
