user_id,rank,movie_id,title,avg_rating,fav_genre
1,1,1449,Pather Panchali (1955),4.625,Drama
1,2,318,Schindler's List (1993),4.4664,Drama
1,3,483,Casablanca (1942),4.4568,Drama
1,4,963,Some Folks Call It a Sling Blade (1993),4.2927,Drama
1,5,427,To Kill a Mockingbird (1962),4.2922,Drama
2,1,1449,Pather Panchali (1955),4.625,Drama
2,2,318,Schindler's List (1993),4.4664,Drama
2,3,483,Casablanca (1942),4.4568,Drama
2,4,64,"Shawshank Redemption, The (1994)",4.4452,Drama
2,5,178,12 Angry Men (1957),4.344,Drama
3,1,1449,Pather Panchali (1955),4.625,Drama
3,2,483,Casablanca (1942),4.4568,Drama
3,3,64,"Shawshank Redemption, The (1994)",4.4452,Drama
3,4,178,12 Angry Men (1957),4.344,Drama
3,5,134,Citizen Kane (1941),4.2929,Drama
4,1,408,"Close Shave, A (1995)",4.4911,Thriller
4,2,603,Rear Window (1954),4.3876,Thriller
4,3,12,"Usual Suspects, The (1995)",4.3858,Thriller
4,4,513,"Third Man, The (1949)",4.3333,Thriller
4,5,963,Some Folks Call It a Sling Blade (1993),4.2927,Thriller
5,1,480,North by Northwest (1959),4.2849,Comedy
5,2,251,Shall We Dance? (1996),4.2609,Comedy
5,3,316,As Good As It Gets (1997),4.1964,Comedy
5,4,170,Cinema Paradiso (1988),4.1736,Comedy
5,5,1007,Waiting for Guffman (1996),4.1277,Comedy
6,1,1449,Pather Panchali (1955),4.625,Drama
6,2,963,Some Folks Call It a Sling Blade (1993),4.2927,Drama
6,3,1524,Kaspar Hauser (1993),4.25,Drama
6,4,313,Titanic (1997),4.2457,Drama
6,5,641,Paths of Glory (1957),4.2121,Drama
7,1,1449,Pather Panchali (1955),4.625,Drama
7,2,963,Some Folks Call It a Sling Blade (1993),4.2927,Drama
7,3,272,Good Will Hunting (1997),4.2626,Drama
7,4,1524,Kaspar Hauser (1993),4.25,Drama
7,5,313,Titanic (1997),4.2457,Drama
8,1,313,Titanic (1997),4.2457,Action
8,2,515,"Boot, Das (1981)",4.204,Action
8,3,498,"African Queen, The (1951)",4.1842,Action
8,4,173,"Princess Bride, The (1987)",4.1728,Action
8,5,1019,"Die xue shuang xiong (Killer, The) (1989)",3.9677,Action
9,1,1449,Pather Panchali (1955),4.625,Drama
9,2,318,Schindler's List (1993),4.4664,Drama
9,3,64,"Shawshank Redemption, The (1994)",4.4452,Drama
9,4,178,12 Angry Men (1957),4.344,Drama
9,5,134,Citizen Kane (1941),4.2929,Drama
10,1,1449,Pather Panchali (1955),4.625,Drama
10,2,318,Schindler's List (1993),4.4664,Drama
10,3,963,Some Folks Call It a Sling Blade (1993),4.2927,Drama
10,4,427,To Kill a Mockingbird (1962),4.2922,Drama
10,5,272,Good Will Hunting (1997),4.2626,Drama
11,1,1449,Pather Panchali (1955),4.625,Drama
11,2,483,Casablanca (1942),4.4568,Drama
11,3,64,"Shawshank Redemption, The (1994)",4.4452,Drama
11,4,178,12 Angry Men (1957),4.344,Drama
11,5,134,Citizen Kane (1941),4.2929,Drama
12,1,1449,Pather Panchali (1955),4.625,Drama
12,2,483,Casablanca (1942),4.4568,Drama
12,3,64,"Shawshank Redemption, The (1994)",4.4452,Drama
12,4,178,12 Angry Men (1957),4.344,Drama
12,5,134,Citizen Kane (1941),4.2929,Drama
13,1,1449,Pather Panchali (1955),4.625,Drama
13,2,134,Citizen Kane (1941),4.2929,Drama
13,3,963,Some Folks Call It a Sling Blade (1993),4.2927,Drama
13,4,1524,Kaspar Hauser (1993),4.25,Drama
13,5,641,Paths of Glory (1957),4.2121,Drama
14,1,1449,Pather Panchali (1955),4.625,Drama
14,2,318,Schindler's List (1993),4.4664,Drama
14,3,483,Casablanca (1942),4.4568,Drama
14,4,64,"Shawshank Redemption, The (1994)",4.4452,Drama
14,5,178,12 Angry Men (1957),4.344,Drama
15,1,1449,Pather Panchali (1955),4.625,Drama
15,2,318,Schindler's List (1993),4.4664,Drama
15,3,483,Casablanca (1942),4.4568,Drama
15,4,64,"Shawshank Redemption, The (1994)",4.4452,Drama
15,5,178,12 Angry Men (1957),4.344,Drama
16,1,1449,Pather Panchali (1955),4.625,Drama
16,2,483,Casablanca (1942),4.4568,Drama
16,3,963,Some Folks Call It a Sling Blade (1993),4.2927,Drama
16,4,285,Secrets & Lies (1996),4.2654,Drama
16,5,272,Good Will Hunting (1997),4.2626,Drama
17,1,1449,Pather Panchali (1955),4.625,Drama
17,2,318,Schindler's List (1993),4.4664,Drama
17,3,483,Casablanca (1942),4.4568,Drama
17,4,64,"Shawshank Redemption, The (1994)",4.4452,Drama
17,5,178,12 Angry Men (1957),4.344,Drama
18,1,1449,Pather Panchali (1955),4.625,Drama
18,2,272,Good Will Hunting (1997),4.2626,Drama
18,3,1524,Kaspar Hauser (1993),4.25,Drama
18,4,313,Titanic (1997),4.2457,Drama
18,5,641,Paths of Glory (1957),4.2121,Drama
19,1,408,"Close Shave, A (1995)",4.4911,Comedy
