user_id,favorite_genre,avoid_rank,movie_id,title,global_avg_rating
0,War,1,687,McHale's Navy (1997),2.1884
0,War,2,1185,In the Army Now (1994),2.2778
0,War,3,719,Canadian Bacon (1994),2.4138
0,War,4,110,Operation Dumbo Drop (1995),2.5161
0,War,5,803,Heaven & Earth (1993),2.5556
1,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
1,Drama,2,981,Dangerous Ground (1997),1.75
1,Drama,3,1272,Talking About Sex (1994),1.8
1,Drama,4,1165,Big Bully (1996),1.8571
1,Drama,5,375,Showgirls (1995),1.9565
2,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
2,Drama,2,981,Dangerous Ground (1997),1.75
2,Drama,3,1272,Talking About Sex (1994),1.8
2,Drama,4,1165,Big Bully (1996),1.8571
2,Drama,5,375,Showgirls (1995),1.9565
3,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
3,Drama,2,981,Dangerous Ground (1997),1.75
3,Drama,3,1272,Talking About Sex (1994),1.8
3,Drama,4,1165,Big Bully (1996),1.8571
3,Drama,5,375,Showgirls (1995),1.9565
4,Thriller,1,758,Lawnmower Man 2: Beyond Cyberspace (1996),1.7143
4,Thriller,2,1274,Robocop 3 (1993),1.7273
4,Thriller,3,976,Solo (1996),1.8333
4,Thriller,4,743,"Crow: City of Angels, The (1996)",1.9487
4,Thriller,5,1393,Stag (1997),2.1111
5,Comedy,1,1287,Ed (1996),1.3333
5,Comedy,2,104,Theodore Rex (1995),1.4
5,Comedy,3,1246,Bushwhacked (1995),1.5714
5,Comedy,4,1509,Getting Even with Dad (1994),1.6
5,Comedy,5,1162,Phat Beach (1996),1.6
6,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
6,Drama,2,981,Dangerous Ground (1997),1.75
6,Drama,3,1272,Talking About Sex (1994),1.8
6,Drama,4,1165,Big Bully (1996),1.8571
6,Drama,5,375,Showgirls (1995),1.9565
7,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
7,Drama,2,981,Dangerous Ground (1997),1.75
7,Drama,3,1272,Talking About Sex (1994),1.8
7,Drama,4,1165,Big Bully (1996),1.8571
7,Drama,5,375,Showgirls (1995),1.9565
8,Action,1,314,3 Ninjas: High Noon At Mega Mountain (1998),1.0
8,Action,2,1250,Best of the Best 3: No Turning Back (1995),1.5
