user_id,favorite_genre,blacklisted_movies.0.title,blacklisted_movies.0.global_avg_rating
0,War,McHale's Navy (1997),2.1884
1,Drama,Free Willy 3: The Rescue (1997),1.7407
2,Drama,Free Willy 3: The Rescue (1997),1.7407
3,Drama,Free Willy 3: The Rescue (1997),1.7407
4,Thriller,Lawnmower Man 2: Beyond Cyberspace (1996),1.7143
5,Comedy,Ed (1996),1.3333
6,Drama,Free Willy 3: The Rescue (1997),1.7407
7,Drama,Free Willy 3: The Rescue (1997),1.7407
8,Action,3 Ninjas: High Noon At Mega Mountain (1998),1
9,Drama,Free Willy 3: The Rescue (1997),1.7407
10,Drama,Free Willy 3: The Rescue (1997),1.7407
11,Drama,Free Willy 3: The Rescue (1997),1.7407
12,Drama,Free Willy 3: The Rescue (1997),1.7407
13,Drama,Dangerous Ground (1997),1.75
14,Drama,Free Willy 3: The Rescue (1997),1.7407
15,Drama,Free Willy 3: The Rescue (1997),1.7407
16,Drama,Free Willy 3: The Rescue (1997),1.7407
17,Drama,Free Willy 3: The Rescue (1997),1.7407
18,Drama,Free Willy 3: The Rescue (1997),1.7407
19,Comedy,Ed (1996),1.3333
20,Action,3 Ninjas: High Noon At Mega Mountain (1998),1
21,Thriller,Robocop 3 (1993),1.7273
22,Comedy,Ed (1996),1.3333
23,Drama,Free Willy 3: The Rescue (1997),1.7407
24,Drama,Free Willy 3: The Rescue (1997),1.7407
25,Comedy,Ed (1996),1.3333
26,Drama,Free Willy 3: The Rescue (1997),1.7407
27,Thriller,Lawnmower Man 2: Beyond Cyberspace (1996),1.7143
28,Thriller,Lawnmower Man 2: Beyond Cyberspace (1996),1.7143
29,Thriller,Lawnmower Man 2: Beyond Cyberspace (1996),1.7143
30,Comedy,Ed (1996),1.3333
31,Drama,Free Willy 3: The Rescue (1997),1.7407
32,Comedy,Ed (1996),1.3333
33,Thriller,Lawnmower Man 2: Beyond Cyberspace (1996),1.7143
34,Drama,Free Willy 3: The Rescue (1997),1.7407
35,Action,3 Ninjas: High Noon At Mega Mountain (1998),1
36,Drama,Free Willy 3: The Rescue (1997),1.7407
37,Action,3 Ninjas: High Noon At Mega Mountain (1998),1
38,Comedy,Ed (1996),1.3333
39,Drama,Free Willy 3: The Rescue (1997),1.7407
40,Drama,Free Willy 3: The Rescue (1997),1.7407
41,Drama,Free Willy 3: The Rescue (1997),1.7407
42,Drama,Free Willy 3: The Rescue (1997),1.7407
43,Comedy,Ed (1996),1.3333
44,Drama,Free Willy 3: The Rescue (1997),1.7407
45,Comedy,Ed (1996),1.3333
46,Drama,Free Willy 3: The Rescue (1997),1.7407
47,Drama,Free Willy 3: The Rescue (1997),1.7407
48,Drama,Free Willy 3: The Rescue (1997),1.7407
49,Comedy,Ed (1996),1.3333
50,Drama,Free Willy 3: The Rescue (1997),1.7407
51,Adventure,Free Willy 3: The Rescue (1997),1.7407
52,Drama,Free Willy 3: The Rescue (1997),1.7407
53,Action,3 Ninjas: High Noon At Mega Mountain (1998),1
54,Thriller,Lawnmower Man 2: Beyond Cyberspace (1996),1.7143
55,Action,3 Ninjas: High Noon At Mega Mountain (1998),1
56,Comedy,Ed (1996),1.3333
57,Comedy,Ed (1996),1.3333
58,Drama,Free Willy 3: The Rescue (1997),1.7407
59,Drama,Free Willy 3: The Rescue (1997),1.7407
60,Drama,Free Willy 3: The Rescue (1997),1.7407
61,Thriller,Lawnmower Man 2: Beyond Cyberspace (1996),1.7143
62,Drama,Free Willy 3: The Rescue (1997),1.7407
63,Drama,Free Willy 3: The Rescue (1997),1.7407
64,Drama,Free Willy 3: The Rescue (1997),1.7407
65,Drama,Free Willy 3: The Rescue (1997),1.7407
66,Action,3 Ninjas: High Noon At Mega Mountain (1998),1
67,Comedy,Ed (1996),1.3333
68,Drama,Free Willy 3: The Rescue (1997),1.7407
69,Drama,Free Willy 3: The Rescue (1997),1.7407
70,Action,3 Ninjas: High Noon At Mega Mountain (1998),1
71,Drama,Free Willy 3: The Rescue (1997),1.7407
72,Drama,Free Willy 3: The Rescue (1997),1.7407
73,Drama,Free Willy 3: The Rescue (1997),1.7407
74,Drama,Free Willy 3: The Rescue (1997),1.7407
75,Comedy,Ed (1996),1.3333
76,Drama,Free Willy 3: The Rescue (1997),1.7407
77,Drama,Free Willy 3: The Rescue (1997),1.7407
78,Comedy,Ed (1996),1.3333
79,Drama,Free Willy 3: The Rescue (1997),1.7407
80,Drama,Free Willy 3: The Rescue (1997),1.7407
81,Comedy,Ed (1996),1.3333
82,Drama,Free Willy 3: The Rescue (1997),1.7407
83,Comedy,Ed (1996),1.3333
84,Drama,Free Willy 3: The Rescue (1997),1.7407
85,Drama,Free Willy 3: The Rescue (1997),1.7407
86,Drama,Free Willy 3: The Rescue (1997),1.7407
87,Comedy,Ed (1996),1.3333
88,Drama,Free Willy 3: The Rescue (1997),1.7407
89,Drama,Free Willy 3: The Rescue (1997),1.7407
90,Drama,Free Willy 3: The Rescue (1997),1.7407
91,Drama,Free Willy 3: The Rescue (1997),1.7407
92,Drama,Free Willy 3: The Rescue (1997),1.7407
93,Comedy,Ed (1996),1.3333
94,Drama,Free Willy 3: The Rescue (1997),1.7407
95,Drama,Free Willy 3: The Rescue (1997),1.7407
96,Drama,Free Willy 3: The Rescue (1997),1.7407
97,Drama,Free Willy 3: The Rescue (1997),1.7407
98,Comedy,Ed (1996),1.3333
99,Drama,Free Willy 3: The Rescue (1997),1.7407
100,Drama,Free Willy 3: The Rescue (1997),1.7407
101,Comedy,Ed (1996),1.3333
102,Action,3 Ninjas: High Noon At Mega Mountain (1998),1
103,Action,3 Ninjas: High Noon At Mega Mountain (1998),1
104,Drama,Free Willy 3: The Rescue (1997),1.7407
105,Drama,Free Willy 3: The Rescue (1997),1.7407
106,Drama,Free Willy 3: The Rescue (1997),1.7407
107,Drama,Free Willy 3: The Rescue (1997),1.7407
108,Drama,Free Willy 3: The Rescue (1997),1.7407
109,Action,3 Ninjas: High Noon At Mega Mountain (1998),1
110,Action,3 Ninjas: High Noon At Mega Mountain (1998),1
111,Drama,Free Willy 3: The Rescue (1997),1.7407
112,Drama,Free Willy 3: The Rescue (1997),1.7407
113,Drama,Free Willy 3: The Rescue (1997),1.7407
114,Drama,Free Willy 3: The Rescue (1997),1.7407
115,Drama,Free Willy 3: The Rescue (1997),1.7407
116,Drama,Free Willy 3: The Rescue (1997),1.7407
117,Action,3 Ninjas: High Noon At Mega Mountain (1998),1
118,Drama,Free Willy 3: The Rescue (1997),1.7407
119,Drama,Free Willy 3: The Rescue (1997),1.7407
120,Drama,Free Willy 3: The Rescue (1997),1.7407
121,Drama,Free Willy 3: The Rescue (1997),1.7407
122,Drama,Free Willy 3: The Rescue (1997),1.7407
123,Drama,Free Willy 3: The Rescue (1997),1.7407
124,Action,3 Ninjas: High Noon At Mega Mountain (1998),1
125,Comedy,Ed (1996),1.3333
126,Drama,Free Willy 3: The Rescue (1997),1.7407
127,Action,3 Ninjas: High Noon At Mega Mountain (1998),1
128,Drama,Free Willy 3: The Rescue (1997),1.7407
129,Drama,Free Willy 3: The Rescue (1997),1.7407
130,Action,3 Ninjas: High Noon At Mega Mountain (1998),1
131,Drama,Free Willy 3: The Rescue (1997),1.7407
132,Drama,Free Willy 3: The Rescue (1997),1.7407
133,Drama,Free Willy 3: The Rescue (1997),1.7407
134,Drama,Free Willy 3: The Rescue (1997),1.7407
135,Thriller,Lawnmower Man 2: Beyond Cyberspace (1996),1.7143
136,Drama,Free Willy 3: The Rescue (1997),1.7407
137,Action,3 Ninjas: High Noon At Mega Mountain (1998),1
138,Drama,Free Willy 3: The Rescue (1997),1.7407
139,Drama,Free Willy 3: The Rescue (1997),1.7407
140,Drama,Free Willy 3: The Rescue (1997),1.7407
141,Comedy,Ed (1996),1.3333
142,Comedy,Ed (1996),1.3333
143,Thriller,Lawnmower Man 2: Beyond Cyberspace (1996),1.7143
144,Drama,Free Willy 3: The Rescue (1997),1.7407
145,Drama,Free Willy 3: The Rescue (1997),1.7407
146,Drama,Free Willy 3: The Rescue (1997),1.7407
147,Drama,Free Willy 3: The Rescue (1997),1.7407
148,Drama,Free Willy 3: The Rescue (1997),1.7407
149,Drama,Free Willy 3: The Rescue (1997),1.7407
150,Drama,Free Willy 3: The Rescue (1997),1.7407
151,Drama,Free Willy 3: The Rescue (1997),1.7407
152,Comedy,Ed (1996),1.3333
153,Drama,Free Willy 3: The Rescue (1997),1.7407
154,Drama,Free Willy 3: The Rescue (1997),1.7407
155,Thriller,Lawnmower Man 2: Beyond Cyberspace (1996),1.7143
156,Drama,Free Willy 3: The Rescue (1997),1.7407
157,Drama,Free Willy 3: The Rescue (1997),1.7407
158,Action,3 Ninjas: High Noon At Mega Mountain (1998),1
159,Comedy,Ed (1996),1.3333
160,Drama,Free Willy 3: The Rescue (1997),1.7407
161,Drama,Free Willy 3: The Rescue (1997),1.7407
162,Action,3 Ninjas: High Noon At Mega Mountain (1998),1
163,Drama,Free Willy 3: The Rescue (1997),1.7407
164,Thriller,Lawnmower Man 2: Beyond Cyberspace (1996),1.7143
165,Drama,Free Willy 3: The Rescue (1997),1.7407
166,Thriller,Lawnmower Man 2: Beyond Cyberspace (1996),1.7143
167,Drama,Free Willy 3: The Rescue (1997),1.7407
168,Comedy,Ed (1996),1.3333
169,Drama,Free Willy 3: The Rescue (1997),1.7407
170,Thriller,Lawnmower Man 2: Beyond Cyberspace (1996),1.7143
171,Drama,Free Willy 3: The Rescue (1997),1.7407
172,Drama,Free Willy 3: The Rescue (1997),1.7407
173,Drama,Free Willy 3: The Rescue (1997),1.7407
174,Comedy,Ed (1996),1.3333
175,Drama,Free Willy 3: The Rescue (1997),1.7407
176,Drama,Free Willy 3: The Rescue (1997),1.7407
177,Drama,Free Willy 3: The Rescue (1997),1.7407
178,Drama,Free Willy 3: The Rescue (1997),1.7407
179,Drama,Free Willy 3: The Rescue (1997),1.7407
180,Drama,Free Willy 3: The Rescue (1997),1.7407
181,Drama,Showgirls (1995),1.9565
182,Drama,Free Willy 3: The Rescue (1997),1.7407
183,Action,3 Ninjas: High Noon At Mega Mountain (1998),1
184,Drama,Free Willy 3: The Rescue (1997),1.7407
185,Drama,Free Willy 3: The Rescue (1997),1.7407
186,Thriller,Lawnmower Man 2: Beyond Cyberspace (1996),1.7143
187,Drama,Free Willy 3: The Rescue (1997),1.7407
188,Drama,Free Willy 3: The Rescue (1997),1.7407
189,Drama,Free Willy 3: The Rescue (1997),1.7407
190,Thriller,Lawnmower Man 2: Beyond Cyberspace (1996),1.7143
191,Drama,Free Willy 3: The Rescue (1997),1.7407
192,Drama,Free Willy 3: The Rescue (1997),1.7407
193,Comedy,Ed (1996),1.3333
194,Drama,Free Willy 3: The Rescue (1997),1.7407
